,file path,scan results,concluded results
106,linux-master/tools/virtio/linux/kmsan.h,GPL-2.0-only,
107,linux-master/tools/virtio/linux/kmemleak.h,No_license_found,
108,linux-master/tools/virtio/linux/kernel.h,GPL-2.0-only,
109,linux-master/tools/virtio/linux/irqreturn.h,No_license_found,
110,linux-master/tools/virtio/linux/hrtimer.h,No_license_found,
111,linux-master/tools/virtio/linux/gfp.h,GPL-2.0-only,
112,linux-master/tools/virtio/linux/export.h,No_license_found,
113,linux-master/tools/virtio/linux/err.h,GPL-2.0-only,
114,linux-master/tools/virtio/linux/dma-mapping.h,GPL-2.0-only,
115,linux-master/tools/virtio/linux/device.h,No_license_found,
116,linux-master/tools/virtio/linux/cpumask.h,GPL-2.0-only,
117,linux-master/tools/virtio/linux/compiler.h,GPL-2.0-only,
118,linux-master/tools/virtio/linux/build_bug.h,GPL-2.0-only,
119,linux-master/tools/virtio/linux/bug.h,GPL-2.0-only,
120,linux-master/tools/virtio/linux,,
121,linux-master/tools/virtio/generated/autoconf.h,No_license_found,
122,linux-master/tools/virtio/generated,,
123,linux-master/tools/virtio/crypto/hash.h,No_license_found,
124,linux-master/tools/virtio/crypto,,
125,linux-master/tools/virtio/asm/barrier.h,GPL-2.0-only,
126,linux-master/tools/virtio/asm,,
127,linux-master/tools/virtio,,
128,linux-master/tools/verification/rv/README.txt,No_license_found,
129,linux-master/tools/verification/rv/Makefile,No_license_found,
130,linux-master/tools/verification/rv/src/utils.c,GPL-2.0-only,
131,linux-master/tools/verification/rv/src/trace.c,GPL-2.0-only,
132,linux-master/tools/verification/rv/src/rv.c,GPL-2.0-only,
133,linux-master/tools/verification/rv/src/in_kernel.c,GPL-2.0-only,
134,linux-master/tools/verification/rv/src,,
135,linux-master/tools/verification/rv/include/utils.h,GPL-2.0-only,
136,linux-master/tools/verification/rv/include/trace.h,GPL-2.0-only,
137,linux-master/tools/verification/rv/include/rv.h,GPL-2.0-only,
138,linux-master/tools/verification/rv/include/in_kernel.h,GPL-2.0-only,
139,linux-master/tools/verification/rv/include,,
140,linux-master/tools/verification/rv,,
141,linux-master/tools/verification/models/wwnr.dot,No_license_found,
142,linux-master/tools/verification/models/wip.dot,No_license_found,
143,linux-master/tools/verification/models,,
144,linux-master/tools/verification/dot2/Makefile,No_license_found,
145,linux-master/tools/verification/dot2/dot2k.py,GPL-2.0-only,
146,linux-master/tools/verification/dot2/dot2k,GPL-2.0-only,
147,linux-master/tools/verification/dot2/dot2c.py,GPL-2.0-only,
148,linux-master/tools/verification/dot2/dot2c,GPL-2.0-only,
149,linux-master/tools/verification/dot2/automata.py,GPL-2.0-only,
150,linux-master/tools/verification/dot2/dot2k_templates/main_per_task.c,GPL-2.0-only,
151,linux-master/tools/verification/dot2/dot2k_templates/main_per_cpu.c,GPL-2.0-only,
152,linux-master/tools/verification/dot2/dot2k_templates/main_global.c,GPL-2.0-only,
153,linux-master/tools/verification/dot2/dot2k_templates,,
154,linux-master/tools/verification/dot2,,
155,linux-master/tools/verification,,
156,linux-master/tools/usb/testusb.c,GPL-2.0-or-later,
157,linux-master/tools/usb/Makefile,GPL-2.0-only,
158,linux-master/tools/usb/hcd-tests.sh,GPL-2.0-only,
159,linux-master/tools/usb/.gitignore,GPL-2.0-only,
160,linux-master/tools/usb/ffs-test.c,GPL-2.0-or-later,
161,linux-master/tools/usb/Build,No_license_found,
162,linux-master/tools/usb/usbip/README,No_license_found,
163,linux-master/tools/usb/usbip/Makefile.am,GPL-2.0-only,
164,linux-master/tools/usb/usbip/INSTALL,FSFUL,
165,linux-master/tools/usb/usbip/.gitignore,GPL-2.0-only,
166,linux-master/tools/usb/usbip/COPYING,GPL-2.0-only,
167,linux-master/tools/usb/usbip/configure.ac,No_license_found,
168,linux-master/tools/usb/usbip/cleanup.sh,GPL-2.0-only,
169,linux-master/tools/usb/usbip/autogen.sh,No_license_found,
170,linux-master/tools/usb/usbip/AUTHORS,No_license_found,
171,linux-master/tools/usb/usbip/vudc/vudc_server_example.sh,Unlicense MIT-style,
172,linux-master/tools/usb/usbip/vudc,,
173,linux-master/tools/usb/usbip/src/utils.h,GPL-2.0-or-later,
174,linux-master/tools/usb/usbip/src/utils.c,GPL-2.0-or-later,
175,linux-master/tools/usb/usbip/src/usbip_unbind.c,GPL-2.0-or-later,
176,linux-master/tools/usb/usbip/src/usbip_port.c,GPL-2.0-or-later,
177,linux-master/tools/usb/usbip/src/usbip_network.h,GPL-2.0-only,
178,linux-master/tools/usb/usbip/src/usbip_network.c,GPL-2.0-or-later,
179,linux-master/tools/usb/usbip/src/usbip_list.c,GPL-2.0-or-later,
180,linux-master/tools/usb/usbip/src/usbip.h,GPL-2.0-or-later,
181,linux-master/tools/usb/usbip/src/usbip_detach.c,GPL-2.0-or-later,
182,linux-master/tools/usb/usbip/src/usbipd.c,GPL-2.0-or-later,
183,linux-master/tools/usb/usbip/src/usbip.c,GPL-2.0-or-later,
184,linux-master/tools/usb/usbip/src/usbip_bind.c,GPL-2.0-or-later,
185,linux-master/tools/usb/usbip/src/usbip_attach.c,GPL-2.0-or-later,
186,linux-master/tools/usb/usbip/src/Makefile.am,GPL-2.0-only,
187,linux-master/tools/usb/usbip/src,,
188,linux-master/tools/usb/usbip/libsrc/vhci_driver.h,GPL-2.0-only,
189,linux-master/tools/usb/usbip/libsrc/vhci_driver.c,GPL-2.0-only,
190,linux-master/tools/usb/usbip/libsrc/usbip_host_driver.h,GPL-2.0-or-later,
191,linux-master/tools/usb/usbip/libsrc/usbip_host_driver.c,GPL-2.0-or-later,
192,linux-master/tools/usb/usbip/libsrc/usbip_host_common.h,GPL-2.0-or-later,
193,linux-master/tools/usb/usbip/libsrc/usbip_host_common.c,GPL-2.0-or-later,
194,linux-master/tools/usb/usbip/libsrc/usbip_device_driver.h,GPL-2.0-or-later,
195,linux-master/tools/usb/usbip/libsrc/usbip_device_driver.c,GPL-2.0-or-later,
196,linux-master/tools/usb/usbip/libsrc/usbip_common.h,GPL-2.0-only,
197,linux-master/tools/usb/usbip/libsrc/usbip_common.c,GPL-2.0-only,
198,linux-master/tools/usb/usbip/libsrc/sysfs_utils.h,GPL-2.0-only,
199,linux-master/tools/usb/usbip/libsrc/sysfs_utils.c,GPL-2.0-only,
200,linux-master/tools/usb/usbip/libsrc/names.h,GPL-2.0-or-later,
201,linux-master/tools/usb/usbip/libsrc/names.c,GPL-2.0-or-later,
202,linux-master/tools/usb/usbip/libsrc/Makefile.am,GPL-2.0-only,
203,linux-master/tools/usb/usbip/libsrc/list.h,GPL-2.0-only,
204,linux-master/tools/usb/usbip/libsrc,,
205,linux-master/tools/usb/usbip/doc/usbipd.8,No_license_found,
206,linux-master/tools/usb/usbip/doc/usbip.8,No_license_found,
207,linux-master/tools/usb/usbip/doc,,
208,linux-master/tools/usb/usbip,,
209,linux-master/tools/usb/ffs-aio-example/simple/host_app/test.c,MIT-style Unlicense,
210,linux-master/tools/usb/ffs-aio-example/simple/host_app/Makefile,GPL-2.0-only,
211,linux-master/tools/usb/ffs-aio-example/simple/host_app,,
212,linux-master/tools/usb/ffs-aio-example/simple/device_app/aio_simple.c,MIT-style Unlicense,
213,linux-master/tools/usb/ffs-aio-example/simple/device_app,,
214,linux-master/tools/usb/ffs-aio-example/simple,,
215,linux-master/tools/usb/ffs-aio-example/multibuff/host_app/test.c,MIT-style Unlicense,
216,linux-master/tools/usb/ffs-aio-example/multibuff/host_app/Makefile,GPL-2.0-only,
217,linux-master/tools/usb/ffs-aio-example/multibuff/host_app,,
218,linux-master/tools/usb/ffs-aio-example/multibuff/device_app/aio_multibuff.c,Unlicense MIT-style,
219,linux-master/tools/usb/ffs-aio-example/multibuff/device_app,,
220,linux-master/tools/usb/ffs-aio-example/multibuff,,
221,linux-master/tools/usb/ffs-aio-example,,
222,linux-master/tools/usb,,
223,linux-master/tools/tracing/Makefile,GPL-2.0-only,
224,linux-master/tools/tracing/rtla/README.txt,No_license_found,
225,linux-master/tools/tracing/rtla/Makefile,No_license_found,
226,linux-master/tools/tracing/rtla/.gitignore,No_license_found,
227,linux-master/tools/tracing/rtla/src/utils.h,GPL-2.0-only,
228,linux-master/tools/tracing/rtla/src/utils.c,GPL-2.0-only,
229,linux-master/tools/tracing/rtla/src/trace.h,GPL-2.0-only,
230,linux-master/tools/tracing/rtla/src/trace.c,GPL-2.0-only,
231,linux-master/tools/tracing/rtla/src/timerlat_top.c,GPL-2.0-only,
232,linux-master/tools/tracing/rtla/src/timerlat_hist.c,GPL-2.0-only,
233,linux-master/tools/tracing/rtla/src/timerlat.h,GPL-2.0-only,
234,linux-master/tools/tracing/rtla/src/timerlat.c,GPL-2.0-only,
235,linux-master/tools/tracing/rtla/src/timerlat_aa.h,GPL-2.0-only,
236,linux-master/tools/tracing/rtla/src/timerlat_aa.c,GPL-2.0-only,
237,linux-master/tools/tracing/rtla/src/rtla.c,GPL-2.0-only,
238,linux-master/tools/tracing/rtla/src/osnoise_top.c,GPL-2.0-only,
239,linux-master/tools/tracing/rtla/src/osnoise_hist.c,GPL-2.0-only,
240,linux-master/tools/tracing/rtla/src/osnoise.h,GPL-2.0-only,
241,linux-master/tools/tracing/rtla/src/osnoise.c,GPL-2.0-only,
242,linux-master/tools/tracing/rtla/src,,
243,linux-master/tools/tracing/rtla,,
244,linux-master/tools/tracing/latency/Makefile,GPL-2.0-only,
245,linux-master/tools/tracing/latency/latency-collector.c,GPL-2.0-only,
246,linux-master/tools/tracing/latency/.gitignore,GPL-2.0-only,
247,linux-master/tools/tracing/latency,,
248,linux-master/tools/tracing,,
249,linux-master/tools/time/udelay_test.sh,GPL-2.0-only,
250,linux-master/tools/time,,
251,linux-master/tools/thermal/tmon/tui.c,GPL-2.0-or-later,
252,linux-master/tools/thermal/tmon/tmon.h,GPL-2.0-or-later,
253,linux-master/tools/thermal/tmon/tmon.c,GPL-2.0-or-later,
254,linux-master/tools/thermal/tmon/tmon.8,GPL-2.0-only,
255,linux-master/tools/thermal/tmon/sysfs.c,GPL-2.0-or-later,
256,linux-master/tools/thermal/tmon/README,No_license_found,
257,linux-master/tools/thermal/tmon/pid.c,GPL-2.0-or-later,
258,linux-master/tools/thermal/tmon/Makefile,GPL-2.0-only,
259,linux-master/tools/thermal/tmon/.gitignore,GPL-2.0-only,
260,linux-master/tools/thermal/tmon,,
261,linux-master/tools/thermal/thermometer/thermometer.conf,No_license_found,
262,linux-master/tools/thermal/thermometer/thermometer.c,GPL-2.0-only,
263,linux-master/tools/thermal/thermometer/thermometer.8,GPL-2.0-only,
264,linux-master/tools/thermal/thermometer/Makefile,GPL-2.0-only,
265,linux-master/tools/thermal/thermometer/Build,No_license_found,
266,linux-master/tools/thermal/thermometer,,
267,linux-master/tools/thermal/thermal-engine/thermal-engine.c,GPL-2.0-only,
268,linux-master/tools/thermal/thermal-engine/Makefile,GPL-2.0-only,
269,linux-master/tools/thermal/thermal-engine/Build,No_license_found,
270,linux-master/tools/thermal/thermal-engine,,
271,linux-master/tools/thermal/lib/uptimeofday.h,LGPL-2.1-or-later,
272,linux-master/tools/thermal/lib/uptimeofday.c,LGPL-2.1-or-later,
273,linux-master/tools/thermal/lib/thermal-tools.h,LGPL-2.1-or-later,
274,linux-master/tools/thermal/lib/Makefile,LGPL-2.1-only Dual-license BSD-2-Clause,
275,linux-master/tools/thermal/lib/mainloop.h,LGPL-2.1-or-later,
276,linux-master/tools/thermal/lib/mainloop.c,LGPL-2.1-or-later,
277,linux-master/tools/thermal/lib/log.h,LGPL-2.1-or-later,
278,linux-master/tools/thermal/lib/log.c,LGPL-2.1-or-later,
279,linux-master/tools/thermal/lib/libthermal_tools.pc.template,Dual-license LGPL-2.1-only BSD-2-Clause,
280,linux-master/tools/thermal/lib/Build,No_license_found,
281,linux-master/tools/thermal/lib,,
282,linux-master/tools/thermal,,
283,linux-master/tools/testing/vsock/vsock_test.c,GPL-2.0-only,
284,linux-master/tools/testing/vsock/vsock_perf.c,GPL-2.0-only,
285,linux-master/tools/testing/vsock/vsock_diag_test.c,GPL-2.0-only,
286,linux-master/tools/testing/vsock/util.h,GPL-2.0-only,
287,linux-master/tools/testing/vsock/util.c,GPL-2.0-only,
288,linux-master/tools/testing/vsock/timeout.h,GPL-2.0-only,
289,linux-master/tools/testing/vsock/timeout.c,GPL-2.0-only,
290,linux-master/tools/testing/vsock/README,No_license_found,
291,linux-master/tools/testing/vsock/Makefile,GPL-2.0-only,
292,linux-master/tools/testing/vsock/.gitignore,GPL-2.0-only,
293,linux-master/tools/testing/vsock/control.h,GPL-2.0-only,
294,linux-master/tools/testing/vsock/control.c,GPL-2.0-only,
295,linux-master/tools/testing/vsock,,
296,linux-master/tools/testing/selftests/run_kselftest.sh,GPL-2.0-only,
297,linux-master/tools/testing/selftests/Makefile,GPL-2.0-only,
298,linux-master/tools/testing/selftests/lib.mk,No_license_found,
299,linux-master/tools/testing/selftests/kselftest_module.h,GPL-2.0-or-later,
300,linux-master/tools/testing/selftests/kselftest_install.sh,GPL-2.0-only,
301,linux-master/tools/testing/selftests/kselftest_harness.h,GPL-2.0-only,
302,linux-master/tools/testing/selftests/kselftest.h,GPL-2.0-only,
303,linux-master/tools/testing/selftests/kselftest_deps.sh,GPL-2.0-only,
304,linux-master/tools/testing/selftests/.gitignore,GPL-2.0-only,
305,linux-master/tools/testing/selftests/gen_kselftest_tar.sh,GPL-2.0-only,
306,linux-master/tools/testing/selftests/zram/zram.sh,GPL-2.0-only,
307,linux-master/tools/testing/selftests/zram/zram_lib.sh,GPL-2.0-or-later,
308,linux-master/tools/testing/selftests/zram/zram02.sh,GPL-2.0-or-later,
309,linux-master/tools/testing/selftests/zram/zram01.sh,GPL-2.0-or-later,
310,linux-master/tools/testing/selftests/zram/README,No_license_found,
311,linux-master/tools/testing/selftests/zram/Makefile,GPL-2.0-only,
312,linux-master/tools/testing/selftests/zram/config,No_license_found,
313,linux-master/tools/testing/selftests/zram,,
314,linux-master/tools/testing/selftests/x86/vdso_restorer.c,GPL-2.0-only,
