,file path,scan results,concluded results
409,linux-master/tools/testing/selftests/uevent/config,No_license_found,
410,linux-master/tools/testing/selftests/uevent,,
411,linux-master/tools/testing/selftests/tpm2/tpm2_tests.py,Dual-license BSD-3-Clause GPL-2.0-only,
412,linux-master/tools/testing/selftests/tpm2/tpm2.py,Dual-license BSD-3-Clause GPL-2.0-only,
413,linux-master/tools/testing/selftests/tpm2/test_space.sh,GPL-2.0-only Dual-license BSD-3-Clause,
414,linux-master/tools/testing/selftests/tpm2/test_smoke.sh,BSD-3-Clause GPL-2.0-only Dual-license,
415,linux-master/tools/testing/selftests/tpm2/test_async.sh,GPL-2.0-only Dual-license BSD-3-Clause,
416,linux-master/tools/testing/selftests/tpm2/settings,No_license_found,
417,linux-master/tools/testing/selftests/tpm2/Makefile,BSD-3-Clause GPL-2.0-only Dual-license,
418,linux-master/tools/testing/selftests/tpm2,,
419,linux-master/tools/testing/selftests/tmpfs/Makefile,GPL-2.0-only,
420,linux-master/tools/testing/selftests/tmpfs/.gitignore,GPL-2.0-only,
421,linux-master/tools/testing/selftests/tmpfs/bug-link-o-tmpfile.c,ISC,
422,linux-master/tools/testing/selftests/tmpfs,,
423,linux-master/tools/testing/selftests/timers/valid-adjtimex.c,GPL-2.0-or-later,
424,linux-master/tools/testing/selftests/timers/threadtest.c,GPL-2.0-or-later,
425,linux-master/tools/testing/selftests/timers/skew_consistency.c,GPL-2.0-or-later,
426,linux-master/tools/testing/selftests/timers/set-tz.c,GPL-2.0-or-later,
427,linux-master/tools/testing/selftests/timers/settings,No_license_found,
428,linux-master/tools/testing/selftests/timers/set-timer-lat.c,GPL-2.0-or-later,
429,linux-master/tools/testing/selftests/timers/set-tai.c,GPL-2.0-or-later,
430,linux-master/tools/testing/selftests/timers/set-2038.c,GPL-2.0-or-later,
431,linux-master/tools/testing/selftests/timers/rtcpie.c,GPL-2.0-only,
432,linux-master/tools/testing/selftests/timers/raw_skew.c,GPL-2.0-or-later,
433,linux-master/tools/testing/selftests/timers/posix_timers.c,GPL-2.0-only,
434,linux-master/tools/testing/selftests/timers/nsleep-lat.c,GPL-2.0-or-later,
435,linux-master/tools/testing/selftests/timers/nanosleep.c,GPL-2.0-or-later,
436,linux-master/tools/testing/selftests/timers/mqueue-lat.c,GPL-2.0-or-later,
437,linux-master/tools/testing/selftests/timers/Makefile,GPL-2.0-only,
438,linux-master/tools/testing/selftests/timers/leapcrash.c,GPL,
439,linux-master/tools/testing/selftests/timers/leap-a-day.c,GPL-2.0-or-later,
440,linux-master/tools/testing/selftests/timers/inconsistency-check.c,GPL-2.0-or-later,
441,linux-master/tools/testing/selftests/timers/.gitignore,GPL-2.0-only,
442,linux-master/tools/testing/selftests/timers/freq-step.c,GPL-2.0-only,
443,linux-master/tools/testing/selftests/timers/clocksource-switch.c,GPL-2.0-or-later,
444,linux-master/tools/testing/selftests/timers/change_skew.c,GPL-2.0-or-later,
445,linux-master/tools/testing/selftests/timers/alarmtimer-suspend.c,GPL-2.0-or-later,
446,linux-master/tools/testing/selftests/timers/adjtick.c,GPL-2.0-or-later,
447,linux-master/tools/testing/selftests/timers,,
448,linux-master/tools/testing/selftests/timens/vfork_exec.c,GPL-2.0-only,
449,linux-master/tools/testing/selftests/timens/timerfd.c,GPL-2.0-only,
450,linux-master/tools/testing/selftests/timens/timer.c,GPL-2.0-only,
451,linux-master/tools/testing/selftests/timens/timens.h,GPL-2.0-only,
452,linux-master/tools/testing/selftests/timens/timens.c,GPL-2.0-only,
453,linux-master/tools/testing/selftests/timens/procfs.c,GPL-2.0-only,
454,linux-master/tools/testing/selftests/timens/Makefile,No_license_found,
455,linux-master/tools/testing/selftests/timens/log.h,GPL-2.0-only,
456,linux-master/tools/testing/selftests/timens/.gitignore,GPL-2.0-only,
457,linux-master/tools/testing/selftests/timens/gettime_perf.c,GPL-2.0-only,
458,linux-master/tools/testing/selftests/timens/futex.c,GPL-2.0-only,
459,linux-master/tools/testing/selftests/timens/exec.c,GPL-2.0-only,
460,linux-master/tools/testing/selftests/timens/config,No_license_found,
461,linux-master/tools/testing/selftests/timens/clock_nanosleep.c,GPL-2.0-only,
462,linux-master/tools/testing/selftests/timens,,
463,linux-master/tools/testing/selftests/tdx/tdx_guest_test.c,GPL-2.0-only,
464,linux-master/tools/testing/selftests/tdx/Makefile,GPL-2.0-only,
465,linux-master/tools/testing/selftests/tdx/config,No_license_found,
466,linux-master/tools/testing/selftests/tdx,,
467,linux-master/tools/testing/selftests/tc-testing/TODO.txt,No_license_found,
468,linux-master/tools/testing/selftests/tc-testing/tdc.sh,GPL-2.0-only,
469,linux-master/tools/testing/selftests/tc-testing/TdcResults.py,No_license_found,
470,linux-master/tools/testing/selftests/tc-testing/tdc.py,GPL-2.0-only,
471,linux-master/tools/testing/selftests/tc-testing/TdcPlugin.py,No_license_found,
472,linux-master/tools/testing/selftests/tc-testing/tdc_multibatch.py,GPL-2.0-only,
473,linux-master/tools/testing/selftests/tc-testing/tdc_helper.py,GPL-2.0-only,
474,linux-master/tools/testing/selftests/tc-testing/tdc_config.py,GPL-2.0-only,
475,linux-master/tools/testing/selftests/tc-testing/tdc_config_local_template.py,No_license_found,
476,linux-master/tools/testing/selftests/tc-testing/tdc_batch.py,No_license_found,
477,linux-master/tools/testing/selftests/tc-testing/README,See-doc.OTHER,
478,linux-master/tools/testing/selftests/tc-testing/Makefile,GPL-2.0-only,
479,linux-master/tools/testing/selftests/tc-testing/.gitignore,GPL-2.0-only,
480,linux-master/tools/testing/selftests/tc-testing/config,No_license_found,
481,linux-master/tools/testing/selftests/tc-testing/action.c,GPL-2.0-only,
482,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/teql.json,No_license_found,
483,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/tbf.json,No_license_found,
484,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/taprio.json,No_license_found,
485,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/skbprio.json,No_license_found,
486,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/sfq.json,No_license_found,
487,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/sfb.json,No_license_found,
488,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/red.json,No_license_found,
489,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/qfq.json,No_license_found,
490,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/prio.json,No_license_found,
491,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/plug.json,No_license_found,
492,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/pfifo_fast.json,No_license_found,
493,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/netem.json,No_license_found,
494,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/multiq.json,No_license_found,
495,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/mqprio.json,No_license_found,
496,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/mq.json,No_license_found,
497,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/ingress.json,No_license_found,
498,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/htb.json,No_license_found,
499,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/hhf.json,No_license_found,
500,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/hfsc.json,No_license_found,
501,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/gred.json,No_license_found,
502,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/fq_pie.json,No_license_found,
503,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/fq.json,No_license_found,
504,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/fq_codel.json,No_license_found,
505,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/fifo.json,No_license_found,
506,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/ets.json,No_license_found,
507,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/etf.json,No_license_found,
508,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/drr.json,No_license_found,
509,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/codel.json,No_license_found,
510,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/choke.json,No_license_found,
511,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/cbs.json,No_license_found,
512,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs/cake.json,No_license_found,
513,linux-master/tools/testing/selftests/tc-testing/tc-tests/qdiscs,,
514,linux-master/tools/testing/selftests/tc-testing/tc-tests/infra/actions.json,No_license_found,
515,linux-master/tools/testing/selftests/tc-testing/tc-tests/infra,,
516,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/u32.json,No_license_found,
517,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/tests.json,No_license_found,
518,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/route.json,No_license_found,
519,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/matchall.json,No_license_found,
520,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/fw.json,No_license_found,
521,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/flow.json,No_license_found,
522,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/concurrency.json,No_license_found,
523,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/cgroup.json,No_license_found,
524,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/bpf.json,No_license_found,
525,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters/basic.json,No_license_found,
526,linux-master/tools/testing/selftests/tc-testing/tc-tests/filters,,
527,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/xt.json,No_license_found,
528,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/vlan.json,No_license_found,
529,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/tunnel_key.json,No_license_found,
530,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/skbmod.json,No_license_found,
531,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/skbedit.json,No_license_found,
532,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/simple.json,No_license_found,
533,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/sample.json,No_license_found,
534,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/police.json,No_license_found,
535,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/pedit.json,No_license_found,
536,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/nat.json,No_license_found,
537,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/mpls.json,No_license_found,
538,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/mirred.json,No_license_found,
539,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/ife.json,No_license_found,
540,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/gate.json,No_license_found,
541,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/gact.json,No_license_found,
542,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/ct.json,No_license_found,
543,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/ctinfo.json,No_license_found,
544,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/csum.json,No_license_found,
545,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/connmark.json,No_license_found,
546,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions/bpf.json,No_license_found,
547,linux-master/tools/testing/selftests/tc-testing/tc-tests/actions,,
548,linux-master/tools/testing/selftests/tc-testing/tc-tests,,
549,linux-master/tools/testing/selftests/tc-testing/plugins/__init__.py,No_license_found,
550,linux-master/tools/testing/selftests/tc-testing/plugins,,
551,linux-master/tools/testing/selftests/tc-testing/plugin-lib/valgrindPlugin.py,No_license_found,
552,linux-master/tools/testing/selftests/tc-testing/plugin-lib/scapyPlugin.py,No_license_found,
553,linux-master/tools/testing/selftests/tc-testing/plugin-lib/rootPlugin.py,No_license_found,
554,linux-master/tools/testing/selftests/tc-testing/plugin-lib/README-PLUGINS,No_license_found,
555,linux-master/tools/testing/selftests/tc-testing/plugin-lib/nsPlugin.py,No_license_found,
556,linux-master/tools/testing/selftests/tc-testing/plugin-lib/buildebpfPlugin.py,No_license_found,
557,linux-master/tools/testing/selftests/tc-testing/plugin-lib,,
558,linux-master/tools/testing/selftests/tc-testing/creating-testcases/template.json,No_license_found,
559,linux-master/tools/testing/selftests/tc-testing/creating-testcases/scapy-example.json,No_license_found,
560,linux-master/tools/testing/selftests/tc-testing/creating-testcases/example.json,No_license_found,
561,linux-master/tools/testing/selftests/tc-testing/creating-testcases/AddingTestCases.txt,No_license_found,
562,linux-master/tools/testing/selftests/tc-testing/creating-testcases,,
563,linux-master/tools/testing/selftests/tc-testing/creating-plugins/AddingPlugins.txt,No_license_found,
564,linux-master/tools/testing/selftests/tc-testing/creating-plugins,,
565,linux-master/tools/testing/selftests/tc-testing,,
566,linux-master/tools/testing/selftests/sysctl/sysctl.sh,Dual-license copyleft-next-0.3.1 GPL-2.0-or-later,
567,linux-master/tools/testing/selftests/sysctl/Makefile,GPL-2.0-only,
568,linux-master/tools/testing/selftests/sysctl/config,No_license_found,
569,linux-master/tools/testing/selftests/sysctl,,
570,linux-master/tools/testing/selftests/syscall_user_dispatch/sud_test.c,GPL-2.0-only,
571,linux-master/tools/testing/selftests/syscall_user_dispatch/sud_benchmark.c,GPL-2.0-only,
572,linux-master/tools/testing/selftests/syscall_user_dispatch/Makefile,GPL-2.0-only,
573,linux-master/tools/testing/selftests/syscall_user_dispatch/.gitignore,GPL-2.0-only,
574,linux-master/tools/testing/selftests/syscall_user_dispatch/config,No_license_found,
575,linux-master/tools/testing/selftests/syscall_user_dispatch,,
576,linux-master/tools/testing/selftests/sync/sync_wait.c,MIT,
577,linux-master/tools/testing/selftests/sync/synctest.h,MIT,
578,linux-master/tools/testing/selftests/sync/sync_test.c,MIT,
579,linux-master/tools/testing/selftests/sync/sync_stress_parallelism.c,MIT,
580,linux-master/tools/testing/selftests/sync/sync_stress_merge.c,MIT,
581,linux-master/tools/testing/selftests/sync/sync_stress_consumer.c,MIT,
582,linux-master/tools/testing/selftests/sync/sync_merge.c,MIT,
583,linux-master/tools/testing/selftests/sync/sync.h,MIT,
584,linux-master/tools/testing/selftests/sync/sync_fence.c,MIT,
585,linux-master/tools/testing/selftests/sync/sync.c,MIT,
586,linux-master/tools/testing/selftests/sync/sync_alloc.c,MIT,
587,linux-master/tools/testing/selftests/sync/sw_sync.h,MIT,
588,linux-master/tools/testing/selftests/sync/Makefile,GPL-2.0-only,
589,linux-master/tools/testing/selftests/sync/.gitignore,GPL-2.0-only,
590,linux-master/tools/testing/selftests/sync/config,No_license_found,
591,linux-master/tools/testing/selftests/sync,,
592,linux-master/tools/testing/selftests/static_keys/test_static_keys.sh,GPL-2.0-only,
593,linux-master/tools/testing/selftests/static_keys/Makefile,GPL-2.0-only,
594,linux-master/tools/testing/selftests/static_keys/config,No_license_found,
595,linux-master/tools/testing/selftests/static_keys,,
596,linux-master/tools/testing/selftests/splice/splice_read.c,GPL-2.0-only,
597,linux-master/tools/testing/selftests/splice/short_splice_read.sh,GPL-2.0-only,
598,linux-master/tools/testing/selftests/splice/settings,No_license_found,
599,linux-master/tools/testing/selftests/splice/Makefile,GPL-2.0-only,
600,linux-master/tools/testing/selftests/splice/.gitignore,GPL-2.0-only,
601,linux-master/tools/testing/selftests/splice/default_file_splice_read.sh,GPL-2.0-only,
602,linux-master/tools/testing/selftests/splice/default_file_splice_read.c,GPL-2.0-only,
603,linux-master/tools/testing/selftests/splice/config,No_license_found,
604,linux-master/tools/testing/selftests/splice,,
605,linux-master/tools/testing/selftests/sparc64/run.sh,No_license_found,
606,linux-master/tools/testing/selftests/sparc64/Makefile,GPL-2.0-only,
607,linux-master/tools/testing/selftests/sparc64/drivers/Makefile,GPL-2.0-only,
608,linux-master/tools/testing/selftests/sparc64/drivers/.gitignore,GPL-2.0-only,
609,linux-master/tools/testing/selftests/sparc64/drivers/drivers_test.sh,GPL-2.0-only,
610,linux-master/tools/testing/selftests/sparc64/drivers/adi-test.c,GPL-2.0-only,
611,linux-master/tools/testing/selftests/sparc64/drivers,,
612,linux-master/tools/testing/selftests/sparc64,,
613,linux-master/tools/testing/selftests/size/Makefile,GPL-2.0-only,
614,linux-master/tools/testing/selftests/size/.gitignore,GPL-2.0-only,
615,linux-master/tools/testing/selftests/size/get_size.c,GPL-2.0-only,
616,linux-master/tools/testing/selftests/size,,
617,linux-master/tools/testing/selftests/sigaltstack/sas.c,GPL-2.0-only,
618,linux-master/tools/testing/selftests/sigaltstack/Makefile,GPL-2.0-only,
619,linux-master/tools/testing/selftests/sigaltstack/.gitignore,GPL-2.0-only,
620,linux-master/tools/testing/selftests/sigaltstack/current_stack_pointer.h,GPL-2.0-only,
621,linux-master/tools/testing/selftests/sigaltstack,,
622,linux-master/tools/testing/selftests/sgx/test_encl.lds,No_license_found,
623,linux-master/tools/testing/selftests/sgx/test_encl.c,GPL-2.0-only,
624,linux-master/tools/testing/selftests/sgx/test_encl_bootstrap.S,GPL-2.0-only,
625,linux-master/tools/testing/selftests/sgx/sigstruct.c,GPL-2.0-only,
626,linux-master/tools/testing/selftests/sgx/sign_key.S,GPL-2.0-only,
627,linux-master/tools/testing/selftests/sgx/sign_key.pem,No_license_found,
628,linux-master/tools/testing/selftests/sgx/Makefile,No_license_found,
629,linux-master/tools/testing/selftests/sgx/main.h,GPL-2.0-only,
630,linux-master/tools/testing/selftests/sgx/main.c,GPL-2.0-only,
631,linux-master/tools/testing/selftests/sgx/load.c,GPL-2.0-only,
632,linux-master/tools/testing/selftests/sgx/.gitignore,No_license_found,
633,linux-master/tools/testing/selftests/sgx/defines.h,GPL-2.0-only,
634,linux-master/tools/testing/selftests/sgx/call.S,GPL-2.0-only,
635,linux-master/tools/testing/selftests/sgx,,
636,linux-master/tools/testing/selftests/seccomp/settings,No_license_found,
637,linux-master/tools/testing/selftests/seccomp/seccomp_bpf.c,GPL-2.0-only,
638,linux-master/tools/testing/selftests/seccomp/seccomp_benchmark.c,No_license_found,
639,linux-master/tools/testing/selftests/seccomp/Makefile,GPL-2.0-only,
640,linux-master/tools/testing/selftests/seccomp/.gitignore,GPL-2.0-only,
641,linux-master/tools/testing/selftests/seccomp/config,No_license_found,
642,linux-master/tools/testing/selftests/seccomp,,
643,linux-master/tools/testing/selftests/sched/Makefile,GPL-2.0-or-later,
644,linux-master/tools/testing/selftests/sched/.gitignore,No_license_found,
645,linux-master/tools/testing/selftests/sched/cs_prctl_test.c,LGPL-2.1-only,
646,linux-master/tools/testing/selftests/sched/config,No_license_found,
647,linux-master/tools/testing/selftests/sched,,
648,linux-master/tools/testing/selftests/safesetid/safesetid-test.sh,No_license_found,
649,linux-master/tools/testing/selftests/safesetid/safesetid-test.c,GPL-2.0-only,
650,linux-master/tools/testing/selftests/safesetid/Makefile,GPL-2.0-only,
651,linux-master/tools/testing/selftests/safesetid/.gitignore,GPL-2.0-only,
652,linux-master/tools/testing/selftests/safesetid/config,No_license_found,
653,linux-master/tools/testing/selftests/safesetid,,
654,linux-master/tools/testing/selftests/rtc/settings,No_license_found,
655,linux-master/tools/testing/selftests/rtc/setdate.c,GPL-2.0-or-later,
656,linux-master/tools/testing/selftests/rtc/rtctest.c,GPL-2.0-only,
657,linux-master/tools/testing/selftests/rtc/Makefile,GPL-2.0-only,
658,linux-master/tools/testing/selftests/rtc/.gitignore,GPL-2.0-only,
659,linux-master/tools/testing/selftests/rtc,,
660,linux-master/tools/testing/selftests/rseq/settings,No_license_found,
661,linux-master/tools/testing/selftests/rseq/run_param_test.sh,Dual-license GPL-2.0-or-later MIT,
662,linux-master/tools/testing/selftests/rseq/rseq-x86-thread-pointer.h,LGPL-2.1-only MIT Dual-license,
663,linux-master/tools/testing/selftests/rseq/rseq-x86.h,LGPL-2.1-only MIT Dual-license,
664,linux-master/tools/testing/selftests/rseq/rseq-x86-bits.h,LGPL-2.1-only MIT Dual-license,
665,linux-master/tools/testing/selftests/rseq/rseq-thread-pointer.h,LGPL-2.1-only MIT Dual-license,
666,linux-master/tools/testing/selftests/rseq/rseq-s390.h,MIT LGPL-2.1-only Dual-license,
667,linux-master/tools/testing/selftests/rseq/rseq-s390-bits.h,Dual-license MIT LGPL-2.1-only,
668,linux-master/tools/testing/selftests/rseq/rseq-riscv.h,LGPL-2.1-only Dual-license MIT,
669,linux-master/tools/testing/selftests/rseq/rseq-riscv-bits.h,LGPL-2.1-only Dual-license MIT,
670,linux-master/tools/testing/selftests/rseq/rseq-ppc-thread-pointer.h,LGPL-2.1-only Dual-license MIT,
671,linux-master/tools/testing/selftests/rseq/rseq-ppc.h,LGPL-2.1-only Dual-license MIT,
672,linux-master/tools/testing/selftests/rseq/rseq-ppc-bits.h,Dual-license MIT LGPL-2.1-only,
673,linux-master/tools/testing/selftests/rseq/rseq-mips.h,MIT Dual-license LGPL-2.1-only,
674,linux-master/tools/testing/selftests/rseq/rseq-mips-bits.h,LGPL-2.1-only MIT Dual-license,
675,linux-master/tools/testing/selftests/rseq/rseq.h,LGPL-2.1-only MIT Dual-license,
676,linux-master/tools/testing/selftests/rseq/rseq-generic-thread-pointer.h,Dual-license MIT LGPL-2.1-only,
677,linux-master/tools/testing/selftests/rseq/rseq.c,LGPL-2.1-only,
678,linux-master/tools/testing/selftests/rseq/rseq-bits-template.h,MIT Dual-license LGPL-2.1-only,
679,linux-master/tools/testing/selftests/rseq/rseq-bits-reset.h,MIT LGPL-2.1-only Dual-license,
680,linux-master/tools/testing/selftests/rseq/rseq-arm.h,Dual-license MIT LGPL-2.1-only,
681,linux-master/tools/testing/selftests/rseq/rseq-arm-bits.h,LGPL-2.1-only MIT Dual-license,
682,linux-master/tools/testing/selftests/rseq/rseq-arm64.h,MIT Dual-license LGPL-2.1-only,
683,linux-master/tools/testing/selftests/rseq/rseq-arm64-bits.h,Dual-license LGPL-2.1-only MIT,
684,linux-master/tools/testing/selftests/rseq/rseq-abi.h,Linux-syscall-note GPL-2.0-or-later,
685,linux-master/tools/testing/selftests/rseq/param_test.c,LGPL-2.1-only,
686,linux-master/tools/testing/selftests/rseq/Makefile,Dual-license GPL-2.0-or-later MIT,
687,linux-master/tools/testing/selftests/rseq/.gitignore,GPL-2.0-only,
688,linux-master/tools/testing/selftests/rseq/compiler.h,Dual-license LGPL-2.1-only MIT,
689,linux-master/tools/testing/selftests/rseq/basic_test.c,LGPL-2.1-only,
690,linux-master/tools/testing/selftests/rseq/basic_percpu_ops_test.c,LGPL-2.1-only,
691,linux-master/tools/testing/selftests/rseq,,
692,linux-master/tools/testing/selftests/rlimits/rlimits-per-userns.c,GPL-2.0-or-later,
693,linux-master/tools/testing/selftests/rlimits/Makefile,GPL-2.0-or-later,
694,linux-master/tools/testing/selftests/rlimits/.gitignore,GPL-2.0-only,
695,linux-master/tools/testing/selftests/rlimits/config,No_license_found,
696,linux-master/tools/testing/selftests/rlimits,,
697,linux-master/tools/testing/selftests/riscv/Makefile,GPL-2.0-only,
698,linux-master/tools/testing/selftests/riscv/hwprobe/sys_hwprobe.S,GPL-2.0-only,
699,linux-master/tools/testing/selftests/riscv/hwprobe/Makefile,GPL-2.0-only,
700,linux-master/tools/testing/selftests/riscv/hwprobe/hwprobe.c,GPL-2.0-only,
701,linux-master/tools/testing/selftests/riscv/hwprobe,,
702,linux-master/tools/testing/selftests/riscv,,
703,linux-master/tools/testing/selftests/resctrl/settings,No_license_found,
704,linux-master/tools/testing/selftests/resctrl/resctrl_val.c,GPL-2.0-only,
705,linux-master/tools/testing/selftests/resctrl/resctrl_tests.c,GPL-2.0-only,
706,linux-master/tools/testing/selftests/resctrl/resctrl.h,GPL-2.0-only,
707,linux-master/tools/testing/selftests/resctrl/resctrlfs.c,GPL-2.0-only,
708,linux-master/tools/testing/selftests/resctrl/README,No_license_found,
709,linux-master/tools/testing/selftests/resctrl/mbm_test.c,GPL-2.0-only,
710,linux-master/tools/testing/selftests/resctrl/mba_test.c,GPL-2.0-only,
711,linux-master/tools/testing/selftests/resctrl/Makefile,GPL-2.0-only,
712,linux-master/tools/testing/selftests/resctrl/.gitignore,GPL-2.0-only,
713,linux-master/tools/testing/selftests/resctrl/fill_buf.c,GPL-2.0-only,
714,linux-master/tools/testing/selftests/resctrl/config,No_license_found,
715,linux-master/tools/testing/selftests/resctrl/cmt_test.c,GPL-2.0-only,
716,linux-master/tools/testing/selftests/resctrl/cat_test.c,GPL-2.0-only,
717,linux-master/tools/testing/selftests/resctrl/cache.c,GPL-2.0-only,
718,linux-master/tools/testing/selftests/resctrl,,
719,linux-master/tools/testing/selftests/rcutorture/Makefile,GPL-2.0-or-later,
720,linux-master/tools/testing/selftests/rcutorture/.gitignore,GPL-2.0-only,
721,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/modify_srcu.awk,GPL-2.0-only,
722,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/Makefile,GPL-2.0-only,
723,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/.gitignore,GPL-2.0-only,
724,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/test_script.sh,GPL-2.0-only,
725,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/test.c,GPL-2.0-only,
726,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/Makefile,GPL-2.0-only,
727,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/main.pass,No_license_found,
728,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/.gitignore,GPL-2.0-only,
729,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/force.fail,No_license_found,
730,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/force3.fail,No_license_found,
731,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/force2.fail,No_license_found,
732,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering/assert_end.fail,No_license_found,
733,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering,,
734,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests,,
735,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/workqueues.h,GPL-2.0-only,
736,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/simple_sync_srcu.c,GPL-2.0-only,
737,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/preempt.h,GPL-2.0-only,
738,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/preempt.c,GPL-2.0-only,
739,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/percpu.h,GPL-2.0-only,
740,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/misc.h,No_license_found,
741,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/misc.c,GPL-2.0-only,
742,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/locks.h,GPL-2.0-only,
743,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/int_typedefs.h,GPL-2.0-only,
744,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/include_srcu.c,GPL-2.0-only,
745,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/config.h,GPL-2.0-only,
746,linux-master/tools/testing/selftests/rcutorture/formal/srcu-cbmc/src/combined_source.c,GPL-2.0-only,
